ORG_ID,external_department_name,external_department_id,org_code
421106908,首钢集团.钢铁板块管理平台（股份公司）.北京首钢股份有限公司.资源开发事业部.电子商务中心.储运项目组.热轧发运乙班,20491061,20491061
424131889,首钢集团.钢铁板块管理平台（股份公司）.北京首钢股份有限公司.营销中心.冷板销售部硅钢销售室,20677231,20677231
16550925,首钢集团.钢铁板块管理平台（股份公司）.北京首钢股份有限公司.北京首钢钢贸投资管理有限公司,20000194,20000194
16560849,首钢集团.钢铁板块管理平台（股份公司）.北京首钢股份有限公司.北京首钢钢贸投资管理有限公司.佛山首钢汽车部件有限公司,20000331,20000331
16560852,首钢集团.钢铁板块管理平台（股份公司）.北京首钢股份有限公司.北京首钢钢贸投资管理有限公司.广州首钢钢铁贸易有限公司,20000334,20000334
16560859,首钢集团.钢铁板块管理平台（股份公司）.北京首钢股份有限公司.北京首钢钢贸投资管理有限公司.哈尔滨首钢钢材加工配送有限公司,20000367,20000367
16560882,首钢集团.钢铁板块管理平台（股份公司）.北京首钢股份有限公司.北京首钢钢贸投资管理有限公司.山东首钢钢铁贸易有限公司,20000431,20000431
16560891,首钢集团.钢铁板块管理平台（股份公司）.北京首钢股份有限公司.北京首钢钢贸投资管理有限公司.上海首钢钢铁贸易有限公司,20000436,20000436
47393165,首钢集团.钢铁板块管理平台（股份公司）.北京首钢股份有限公司.迁安首钢冶金科技有限公司,20000445,20000445
16560893,首钢集团.钢铁板块管理平台（股份公司）.北京首钢股份有限公司.北京首钢钢贸投资管理有限公司.首钢鹏龙钢材有限公司,20000474,20000474
16560902,首钢集团.钢铁板块管理平台（股份公司）.北京首钢股份有限公司.北京首钢钢贸投资管理有限公司.苏州首钢钢材加工配送有限公司,20000489,20000489
16560908,首钢集团.钢铁板块管理平台（股份公司）.北京首钢股份有限公司.北京首钢钢贸投资管理有限公司.天津首钢钢铁贸易有限公司,20000506,20000506
16560878,首钢集团.钢铁板块管理平台（股份公司）.北京首钢股份有限公司.北京首钢钢贸投资管理有限公司.天津首钢钢铁贸易有限公司,20000506,20000506
16560923,首钢集团.钢铁板块管理平台（股份公司）.北京首钢股份有限公司.北京首钢钢贸投资管理有限公司.武汉首钢钢铁贸易有限公司,20000522,20000522
